Designator,Mid X,Mid Y,Rotation,Layer
C1,143.0,-106.75,90.0,bottom
C10,129.4,-115.8,270.0,bottom
C11,124.4,-108.8,0.0,bottom
C12,128.2,-105.25,0.0,bottom
C13,136.4,-105.25,180.0,bottom
C14,136.75,-109.75,180.0,bottom
C15,138.6,-105.25,180.0,bottom
C16,131.0,-115.8,270.0,bottom
C17,124.4,-109.8,0.0,bottom
C18,129.4,-118.0,270.0,bottom
C19,122.4,-116.2,90.0,bottom
C2,122.4,-107.2,270.0,bottom
C3,123.6,-107.2,270.0,bottom
C4,142.25,-119.25,180.0,bottom
C5,140.75,-106.75,90.0,bottom
C6,138.6,-106.5,180.0,bottom
C7,136.8,-110.75,180.0,bottom
C8,124.8,-107.2,90.0,bottom
C9,132.8,-115.8,270.0,bottom
D1,133.6,-105.0,0.0,bottom
J2,128.2,-105.2,270.0,top
R1,122.4,-109.4,90.0,bottom
R10,149.0,-118.25,0.0,bottom
R2,134.4,-119.2,0.0,bottom
R3,136.8,-119.2,0.0,bottom
R4,138.6,-108.9,180.0,bottom
R5,138.6,-107.7,180.0,bottom
R6,131.0,-105.25,0.0,bottom
R7,124.8,-114.2,0.0,bottom
R8,121.2,-109.4,270.0,bottom
R9,149.75,-105.75,180.0,bottom
TP1,130.4,-119.0,90.0,top
TP2,130.0,-105.2,270.0,top
U1,142.5,-109.75,90.0,bottom
U2,121.5,-112.0,90.0,bottom
U3,139.35,-115.75,180.0,bottom
U4,130.4,-110.0,90.0,bottom
USB1,148.6,-112.01,270.0,bottom
Y1,126.0,-117.0,180.0,bottom
